Nama Tugas,Estimasi (jam),Progress ,Deadline,Kategori,Tipe Beban
mengajar,1.2,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1,100%,2/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,3/8/2025,Non-Akademik,Sesi
mengajar,1.63,100%,3/8/2025,Non-Akademik,Sesi
mengajar,1,100%,5/8/2025,Non-Akademik,Sesi
mengajar,2,100%,5/8/2025,Non-Akademik,Sesi
mengajar,1,100%,6/8/2025,Non-Akademik,Sesi
mengajar,2,100%,6/8/2025,Non-Akademik,Sesi
mengajar,0.5,100%,7/8/2025,Non-Akademik,Sesi
mengajar,1,100%,8/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,8/8/2025,Non-Akademik,Sesi
mengajar,1.25,100%,8/8/2025,Non-Akademik,Sesi
mengajar,1,100%,8/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,8/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,9/8/2025,Non-Akademik,Sesi
mengajar,1,100%,9/8/2025,Non-Akademik,Sesi
mengajar,1,100%,9/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,9/8/2025,Non-Akademik,Sesi
mengajar,1,100%,9/8/2025,Non-Akademik,Sesi
mengajar,1,100%,9/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,9/8/2025,Non-Akademik,Sesi
mengajar,2,100%,10/8/2025,Non-Akademik,Sesi
mengajar,1,100%,10/8/2025,Non-Akademik,Sesi
mengajar,1,100%,12/8/2025,Non-Akademik,Sesi
mengajar,1,100%,12/8/2025,Non-Akademik,Sesi
mengajar,1,100%,12/8/2025,Non-Akademik,Sesi
mengajar,2,100%,12/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,16/8/2025,Non-Akademik,Sesi
mengajar,1,100%,16/8/2025,Non-Akademik,Sesi
mengajar,1,100%,16/8/2025,Non-Akademik,Sesi
mengajar,1,100%,16/8/2025,Non-Akademik,Sesi
mengajar,1,100%,16/8/2025,Non-Akademik,Sesi
mengajar,1,100%,16/8/2025,Non-Akademik,Sesi
mengajar,2,100%,17/8/2025,Non-Akademik,Sesi
mengajar,1,100%,17/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,17/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,18/8/2025,Non-Akademik,Sesi
mengajar,0.5,100%,18/8/2025,Non-Akademik,Sesi
mengajar,1,100%,18/8/2025,Non-Akademik,Sesi
mengajar,1,100%,18/8/2025,Non-Akademik,Sesi
mengajar,1,100%,18/8/2025,Non-Akademik,Sesi
mengajar,2,100%,19/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,19/8/2025,Non-Akademik,Sesi
mengajar,1,100%,19/8/2025,Non-Akademik,Sesi
mengajar,1.5,100%,21/8/2025,Non-Akademik,Sesi
